id_registro,batalha,efeito_buff,personagem_1,personagem_2,personagem_3,personagem_4,tentativa_1,tentativa_2,tentativa_3,pontuacao_media,pontuacao_maior,desvio_padrao
e_1785258454051_4381,1ª Batalha,Golpe de Fragmentação,Rappa,A Dália,Fugue,Gallagher,2526,2613,2752,2630.33,2752,113.99
e_1785258472179_1884,1ª Batalha,Golpe de Fragmentação,Rappa,A Dália,Fugue,Dan Heng (Preservação),2686,2466,2677,2609.67,2686,124.5
e_1785258492962_5181,1ª Batalha,Golpe de Fragmentação,Rappa,A Dália,Fugue,Huohuo,2607,2545,2525,2559.0,2607,42.76
e_1785258535469_5246,2ª Batalha,Rumo à Apoteose,Archer,Mortenax Blade,Tribbie,Hyacine,3176,3115,3115,3135.33,3176,35.22
e_1785258588045_3161,2ª Batalha,Força Irrefreável,Castorice,Amy (Recordação),Tribbie,Hyacine,3091,3035,3091,3072.33,3091,32.33
e_1785258625714_2236,2ª Batalha,Rumo à Apoteose,A Herta,Mortenax Blade,Tribbie,Hyacine,2961,3037,2899,2965.67,3037,69.12
e_1785258702287_3153,2ª Batalha,Rumo à Apoteose,Archer,Robin,Tribbie,Dan Heng (Preservação),2909,2633,2829,2790.33,2909,142.0
e_1785337785106_9879,1ª Batalha,Quebrador de Formação,Mortenax Blade,Amy (Recordação),Tribbie,Hyacine,3091,2995,3037,3041.0,3091,48.12
e_1785346411001_3132,2ª Batalha,Rumo à Apoteose,Archer,Cerydra,Robin,Dan Heng (Preservação),2689,2798,2649,2712.0,2798,77.12
e_1785347975869_3148,1ª Batalha,Quebrador de Formação,Mortenax Blade,Welt,Tribbie,Hyacine,2891,2820,2838,2849.67,2891,36.91
e_1785350934351_2403,1ª Batalha,Quebrador de Formação,Mortenax Blade,A Dália,Tribbie,Hyacine,2851,2823,2899,2857.67,2899,38.44
e_1785353117701_9528,2ª Batalha,Rumo à Apoteose,Archer,Amy (Recordação),Cerydra,Dan Heng (Preservação),2871,2764,2914,2849.67,2914,77.24
e_1785356349096_1052,1ª Batalha,Quebrador de Formação,Mortenax Blade,Himeko,Tribbie,Hyacine,2209,2358,2507,2358.0,2507,149.0
